company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
SpotHero,Transportation,Series D,117.0,North America,5,-0.45833333333333326,2.0555555555555554,once,small
New Relic,Infrastructure,Post-IPO,214.0,North America,3,1.5625,-0.1875,thrice,medium
Bevi,Food,Series C,60.0,North America,5,-0.3787878787878789,2.090909090909091,once,tiny
Usermind,Marketing,Series C,46.0,North America,5,-0.2857142857142858,1.8181818181818183,once,tiny
Klook,Travel,Series D,521.0,Asia,5,-0.43333333333333335,1.2999999999999998,once,large
Kabam,Consumer,Acquired,244.0,North America,3,-0.3833333333333333,0.5166666666666666,once,medium
Armis,Security,Private Equity,537.0,North America,3,-0.21818181818181825,0.8363636363636364,once,large
GoPro,Consumer,Post-IPO,288.0,North America,1,0.6166666666666667,-1.4833333333333334,twice,medium
Hims & Hers,Healthcare,Post-IPO,1200.0,North America,0,-0.26041666666666674,-2.59375,once,large
Zeus Living,Real Estate,Series B,151.0,North America,5,1.605263157894737,1.473684210526316,thrice,small
CNET,Media,Acquired,20.0,North America,2,-0.4358974358974359,-0.6666666666666665,once,tiny
Incredible Health,Healthcare,Series A,15.0,North America,5,-0.26041666666666674,2.40625,once,tiny
Drift,Marketing,Acquired,107.0,North America,2,-0.2857142857142858,-1.1818181818181817,once,small
GoTo Group,Transportation,Post-IPO,1300.0,Asia,3,-0.45833333333333326,0.05555555555555536,once,large
Swyft,Logistics,Series A,20.0,North America,3,-0.19999999999999996,0.0,once,tiny
LoopMe,Marketing,Unknown,32.0,Europe,5,-0.2857142857142858,1.8181818181818183,once,tiny
Koho,Finance,Series D,278.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,medium
Chime,Finance,Series G,2300.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,large
CaptivateIQ,Sales,Series C,164.0,North America,3,-0.41666666666666674,0.5833333333333335,once,small
AgentSync,Finance,Series B,111.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,small
Aqgromalin,Food,Unknown,12.0,Asia,3,-0.3787878787878789,0.09090909090909083,once,tiny
Illumina,Healthcare,Post-IPO,28.0,North America,3,-0.26041666666666674,0.40625,once,tiny
Groupon,Retail,Post-IPO,1400.0,North America,3,0.6702127659574468,0.1170212765957448,twice,large
Amperity,Marketing,Series D,187.0,North America,3,-0.2857142857142858,-0.18181818181818166,once,medium
